ticker,sector,market_cap,book_value,price_to_book,roe,trailing_pe,forward_pe,dividend_yield,beta,avg_volume,current_price,volatility_60d,momentum_60d,avg_volume_60d
LOCO,Consumer Discretionary,303853920.0,9.431,1.0741173,0.09625,11.511364,10.443298,,0.878,245819,10.13,0.28614845192352495,-0.00880627693115077,264541.93548387097
VNDA,Health Care,445588608.0,7.886,0.9561248,-0.16719,,37.7,,0.605,1682370,7.54,0.9440325146307903,0.7333333625647307,1673287.0967741935
GOOD,Real Estate,568838656.0,3.819,3.0505366,0.06081,61.31579,77.666664,10.42,1.104,534231,11.65,0.230513623208813,0.04714609441459672,534146.7741935484
DSGR,Industrials,1313749888.0,14.127,2.0096269,-0.0168,,16.66735,,0.461,70393,28.39,0.2820512159358682,0.03840523888808978,70525.80645161291
DBI,Consumer Discretionary,314692832.0,6.018,1.0535061,-0.07906,,14.9229145,3.22,0.964,1156637,6.34,1.2878610720063772,0.7365923398270571,1145895.1612903227
NABL,Information Technology,1135673344.0,4.335,1.4002308,-0.00825,,12.387755,,0.61,918365,6.07,0.40389776647099185,-0.22477647116139998,911356.4516129033
CABO,Communication,456392960.0,254.088,0.31874782,-0.27384,,2.3305771,9.01,0.76,150649,80.99,0.6031484581738954,-0.4547963904413318,149659.67741935485
LXFR,Industrials,404563680.0,8.667,1.746856,0.07138,25.233334,12.830509,3.41,0.991,114652,15.14,0.24878415882748375,0.25129873318488416,115088.70967741935
FDMT,Health Care,506216768.0,7.889,1.1230828,-0.45378,,-2.5471187,,2.983,949021,8.86,0.8495746918254841,-0.2295652472454569,951570.9677419355
JACK,Consumer Discretionary,400593184.0,-49.664,-0.4222374,,,5.221704,8.39,1.152,823670,20.97,0.6800925713615771,0.3073564910494935,832937.0967741936
ACCO,Industrials,352432288.0,7.148,0.5470062,0.06447,9.309525,3.7120373,7.67,1.063,747632,3.91,0.3109056537492108,0.0643043176684186,759438.7096774194
YORW,Utilities,484716576.0,16.491,2.0362625,0.08585,24.158276,21.947714,2.72,0.737,77577,33.58,0.19682283972821266,0.08847108309957696,78551.6129032258
ARKO,Consumer Discretionary,598661824.0,2.43,2.1851852,0.04936,48.272728,106.2,2.3,0.854,480196,5.31,0.4578500776454683,0.21378081531525783,477638.70967741933
CTOS,Industrials,1431856640.0,3.463,1.8250072,-0.03002,,94.795265,,1.164,768965,6.32,0.43264534234126845,0.07300514684601356,766570.9677419355
BOW,Financials,854235264.0,13.148,1.8679647,0.13206,15.74359,12.499364,,,205480,24.56,0.3819523147564946,0.025041753105013997,206558.06451612903
MCS,Communication,472484128.0,14.793,1.0200771,0.01685,62.875004,27.944443,2.12,0.541,213167,15.09,0.28189041553987754,0.05350184733868968,217517.74193548388
MLAB,Health Care,434936288.0,32.385,2.4319904,-0.00925,,12.9967,0.81,0.889,125891,78.76,0.4641744024551045,0.09774426735743358,125998.3870967742
MCW,Consumer Discretionary,1818004608.0,3.374,1.6449319,0.08844,19.821428,11.622793,,1.467,1256819,5.55,0.3541012493057846,-0.0071556280431422925,1274509.677419355
PKST,Real Estate,574673344.0,20.144,0.77541703,-0.00387,,-41.105263,2.66,1.736,214724,15.62,0.31733788226757187,0.1642656899551218,214562.90322580645
CCRN,Health Care,305322752.0,12.549,0.74268866,-0.03765,,97.37749,,0.446,881549,9.32,0.6742068047115678,-0.23980428051963887,872585.4838709678
MITK,Information Technology,458338400.0,5.265,1.903134,0.03866,52.736847,9.109091,,1.085,583908,10.02,0.35794446144802067,0.0879479279328721,577951.6129032258
MCFT,Consumer Discretionary,350804608.0,11.389,1.8904207,0.07391,26.580248,14.632026,,1.061,130759,21.53,0.3737526582509131,0.07328022232497444,130437.09677419355
PX,Financials,1185962624.0,3.137,3.436404,0.04458,82.92308,9.891905,1.38,0.785,505014,10.78,0.35559631041212314,0.06533945602100877,503401.6129032258
AEVA,Information Technology,767220480.0,0.554,23.05054,-1.9234599,,-7.104312,,2.078,2978591,12.77,1.3450739267527738,-0.2184822314251209,2960104.8387096776
RGNX,Health Care,564953664.0,3.19,3.4984324,-0.76875,,-5.4010887,,1.068,793100,11.16,0.7911468191396025,-0.12607678564120517,787951.6129032258
UDMY,Consumer Discretionary,704072256.0,1.508,3.189655,-0.01783,,9.843446,,1.726,2632993,4.81,0.49497532594633953,-0.15539950872796182,2646301.6129032257
ABSI,Health Care,449610880.0,1.405,2.128114,-0.55676997,,-4.2414956,,2.129,4022698,2.99,0.9053999876772828,-0.3014019011763951,4020583.870967742
AQST,Health Care,359909184.0,-0.034,-86.7647,,,-6.629214,,1.655,3937331,2.95,0.9604777264760958,-0.567448684247601,3902014.5161290322
GRNT,Energy,658881408.0,4.906,1.0232369,0.05795,16.733332,10.590717,8.94,0.307,648827,5.02,0.37788667702490236,-0.028735945542728958,644038.7096774194
LMNR,Consumer Staples,260915264.0,8.91,1.6161616,-0.083170004,,24.685856,2.09,0.387,92355,14.4,0.2990269376599668,0.025299675940122723,91838.70967741935
HELE,Consumer Discretionary,382074016.0,36.981,0.4477975,-0.639,,4.8965397,,0.78,895645,16.56,0.4538380478963901,-0.11111109973549993,899519.3548387097
FDBC,Financials,257968624.0,41.389,1.0799971,0.12735,9.197531,,3.71,0.941,8234,44.7,0.3310168905512276,0.03322912134800271,8182.258064516129
SABR,Consumer Discretionary,513350336.0,-2.448,-0.53104573,,,6.049325,,1.078,5820524,1.3,0.5192918828533077,-0.36430322551761896,5867038.70967742
KELYA,Industrials,381307904.0,31.609,0.34135848,-0.13108,,6.1922526,2.78,0.785,521181,10.79,0.5205434628027983,-0.028857122502109367,517967.7419354839
CVGW,Consumer Staples,454716608.0,11.59,2.1949956,0.09734,22.918919,15.900001,3.14,0.37,436175,25.44,0.41305131522007626,0.1558524908970862,431101.6129032258
TWI,Industrials,610097280.0,8.906,1.071188,-0.00824,,29.129772,,1.416,660370,9.54,0.4727173446008873,0.26357612196622626,656143.5483870967
KRUS,Consumer Discretionary,809167808.0,18.925,3.530251,-0.01753,,341.63428,,1.689,373286,66.81,0.674074741169248,0.17354641139040594,372000.0
TG,Materials,297472896.0,5.926,1.4427944,0.01258,122.14286,7.702703,,0.686,169157,8.55,0.5629650850515285,0.23733724740051287,168127.4193548387
KALV,Health Care,789027584.0,0.336,46.458332,-1.90176,,-9.29781,,-0.147,1343460,15.61,0.7102032527260199,0.4307974220897899,1335601.6129032257
LENZ,Health Care,495007296.0,6.783,2.3323014,-0.28779,,-5.30104,,,1228816,15.82,1.0481901124781476,-0.4676985174856446,1222553.2258064516
BFS,Real Estate,1092280320.0,5.374,5.904354,0.1034,27.833334,23.330881,7.46,1.024,73268,31.73,0.1862466472857603,0.0914044425456515,73945.16129032258
ANGO,Health Care,427012096.0,4.241,2.4428198,-0.15263,,-94.181816,,0.472,592167,10.36,0.4947297521754437,-0.13881962704595052,587788.7096774194
SCVL,Consumer Discretionary,521766880.0,24.956,0.7637442,0.08777001,8.783409,12.191923,3.26,1.306,591306,19.06,0.48785125117746697,0.0480432611168049,586600.0
FNLC,Financials,306931648.0,25.23,1.0840269,0.12842,8.908795,,5.45,0.589,18421,27.35,0.2585891728352573,0.1182805904351305,18445.16129032258
SPOK,Communication,283636768.0,7.221,1.9069381,0.108830005,17.2125,16.392859,9.08,0.383,169086,13.77,0.23135379763748454,-0.013289563034826646,170859.67741935485
CLFD,Information Technology,412216800.0,18.509,1.6084067,0.023729999,66.155556,17.511765,,1.886,121386,29.77,0.4377566569075542,-0.15665719260104327,121291.93548387097
AHH,Real Estate,722540992.0,5.836,1.1943111,0.03556,31.681818,25.814814,8.1,1.064,896647,6.97,0.2623334545469064,0.08849386511839041,893730.6451612903
MRVI,Health Care,1231073408.0,1.696,1.981132,-0.40922,,-16.0,,0.333,1313621,3.36,0.6854595196017993,0.07006362510881647,1320643.5483870967
TBCH,Information Technology,236887360.0,5.731,2.086896,0.17188999,13.590909,10.710416,,2.15,256126,11.96,0.4389891589758459,-0.2923076740763213,255553.2258064516
MOV,Consumer Discretionary,504745344.0,22.471,1.014641,0.04479,23.505154,14.805195,6.12,0.932,141837,22.8,0.35132036818214946,0.27290707894584965,141180.64516129033
RBB,Financials,353770400.0,30.681,0.6759884,0.06196,11.333333,8.723449,3.09,1.082,53086,20.74,0.27828436352129526,0.12200256269449028,52890.32258064516
MBI,Financials,323159200.0,-43.177,-0.14822708,,,-12.8,,1.585,358916,6.4,0.459017449489423,-0.0629575158333675,358598.3870967742
OEC,Materials,347005184.0,7.156,0.8636109,-0.07243,,8.018476,1.35,1.073,721070,6.18,0.5606818045939006,0.1660376614970922,720456.4516129033
GCO,Consumer Discretionary,312311648.0,47.527,0.60870665,-0.0013400001,,13.502918,,1.81,197522,28.93,0.9006497113568169,-0.0027576671173690226,195330.64516129033
LAND,Real Estate,415525152.0,18.227,0.61172986,0.014570001,,-24.777777,5.37,1.192,579183,11.15,0.29038500164277214,0.24936706804718423,575840.3225806452
ZBIO,Health Care,986086336.0,4.653,3.947991,-0.68325996,1.3438187,-4.6624365,,,670947,18.37,1.5039324493551576,-0.41215997314453123,669309.6774193548
MGPI,Consumer Staples,530441408.0,40.163,0.6202226,-0.01721,,9.760972,1.91,0.36,357583,24.91,0.3673463679381711,0.034139472958429895,356219.3548387097
IPI,Materials,440940448.0,37.413,0.8777698,-0.3337,,53.480118,,1.599,166678,32.84,0.4751711823193229,0.23319568860408935,165446.7741935484
DSP,Information Technology,749097024.0,1.401,8.4368305,0.04239,118.2,17.089073,,1.031,242732,11.82,0.5974075709475275,0.3310810295601445,241374.1935483871
GRPN,Consumer Discretionary,576680448.0,-1.461,-9.685147,,,7.5668445,,0.011,1151503,14.15,0.5695846508287643,-0.2970690408120511,1152879.0322580645
PRTA,Health Care,474242176.0,5.48,1.6076643,-0.67633003,,16.727743,,-0.097,626531,8.81,0.4775079805103893,-0.1804650772449582,624161.2903225806
CHCT,Real Estate,491986240.0,15.836,1.0911846,-0.01658,,43.2,11.23,0.724,245891,17.28,0.2310375392624854,0.21791197065352375,247074.1935483871
OLP,Real Estate,466453216.0,15.108,1.4263966,0.11535,13.993506,58.24324,8.51,0.993,104336,21.55,0.21042964144979065,0.09638134378840002,104258.06451612903
AVXL,Health Care,419936064.0,1.095,4.2922373,-0.43115002,,3.7007873,,1.172,2714736,4.7,1.181422620268265,-0.41028859059077616,2692740.3225806453
NEWT,Financials,389689632.0,12.192,1.1064632,0.17442,6.022321,5.3584905,5.63,1.304,268457,13.49,0.38343499306762163,0.31758492240566616,267796.77419354836
CYRX,Health Care,476155296.0,9.447,1.0066688,-0.11304,,-14.62312,,1.545,497852,9.51,0.44286630330403687,0.029220829486124256,496245.1612903226
TITN,Industrials,380278336.0,26.779,0.60756564,-0.09645,,-18.436262,,1.262,190619,16.27,0.5672970317568329,-0.007926778279904068,190048.38709677418
