,Country,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities,size,beta,momentum,residvol,nlsize,btop,liquidity,earnyild,growth,leverage
2025-12-01,-0.002637494839655919,-0.005662212376158531,-0.004663617000078431,-0.010122734432765762,0.0023585198225529003,0.009224168984902158,-0.003950380312867535,-0.009955891691707429,0.007824663788395853,-0.004571318599846664,-0.0026221081623331944,-0.021041298803971757,0.0017131245013021891,-0.002749996184762151,-0.004077722821097285,-0.0007955836555371839,-0.0003585912071832272,-0.0009188998163475999,0.0012920786623522081,0.004429311096878225,-0.00167506268380954,-0.002631640983066342
2025-12-02,0.017502707362576017,-0.007369556775859792,0.011004330723515102,-0.006525291544219278,-0.001665836939522721,0.00015794045137286136,-0.01844549152106392,-0.0029814871907318484,0.003972117908761693,-0.006854693189927956,-0.011849658816471634,-0.009550816089132589,0.0009725872728699903,0.001414954518065058,0.001209823919652072,0.0006075108711162563,0.0009732050757766423,-0.001563857993206496,-0.00010653621587240356,-0.0003510494279399433,0.0025081753778890318,0.0029315987942750057
2025-12-03,0.010158367195684817,0.0018245221622724226,0.003628792370109026,0.003460167063822543,0.00046772273526950913,-0.008242463504104252,-0.002275717132383473,0.013567606803331545,-0.00642433776918321,-0.004330098024151213,0.00021795565819476693,0.007517113958265585,2.899164474157251e-05,0.0040458171472154076,0.0012599046593173673,0.0009097912127253191,0.002360361059769269,-0.0008491625783413061,-0.0011784566326631042,0.0019940343406452308,-0.0016797919162415502,-0.0005974038891456116
2025-12-04,-0.0008364901666136489,-0.0074449977337462435,0.011154070571332218,-0.0054252506640642476,-0.006578764955871263,-0.009646082310938135,-0.002783917459847504,-0.0030329740896780717,0.0038483641188786833,-0.002244381262154776,0.00408187979094898,-0.00587899903930893,0.0024050118825072993,-0.004091808235524391,0.0006385418218505442,-0.0011753946949784489,-0.000555759790823506,-0.0013045058183038143,-0.0007727267120075521,0.003762942870174201,0.0011341196812862983,0.000435414852784075
2025-12-05,0.016582566091074606,-0.0076859140997421575,0.013576032267738292,-0.007738533159397129,-0.005060386927636674,-0.0012817601701239677,-0.009213876522336215,0.010844178726046799,-0.007203347891793311,0.0002404435478509788,0.008048584375081031,0.007389993809995723,-0.0009628560466925128,0.0031515434871147436,-0.003254293949487441,0.005427150602548116,-0.005374051358892095,-0.0002355077013691381,-2.4746977849528465e-05,0.002416555310304866,-0.001549391552007937,0.0008458080747164668
2025-12-08,0.0131644408625568,-0.006549270882907052,-0.0041432162918773755,-0.00021278558088690504,-0.0012742981753204158,-0.010687142184120714,-0.0012739451262728603,-0.0044958582691980884,0.006975447110645295,0.006404345659371612,0.009817343777072912,-0.01021386794945527,-0.0038846062799415605,0.005478011285092736,-0.0002483816909215098,-0.0014021823445341474,-0.0056982231942743055,0.00035020590840345275,-0.0014444896434469279,-0.0027073087786866276,0.007631352247578052,-0.00017850836652092442
2025-12-09,-0.003116626753958382,-0.0015893454874548012,-0.008145518248136096,-0.00470616809996423,0.0022117648730695266,-0.00212304249984669,0.008043675016851883,0.005553774401679941,-0.001261176456422078,0.0029196648205484874,-0.0045994691192016044,-0.008446968246298798,0.0008442848082028676,-0.002248927293613619,0.004513851133748675,0.002706838925049128,0.0031343239765060414,0.0018383650970855044,-0.0022736363582560623,-0.0014962087800420279,0.00011189521531752249,-0.0020680344252098524
2025-12-10,-0.00302409345112542,-9.589612659336457e-05,-0.0032598276413670344,-0.0005377673512104166,0.001317960186307339,-0.005622189128236067,0.001961741289787891,-0.007704820290245371,0.00654227302565214,0.0026781769673495113,0.006554017955182613,-0.00845536332317534,-0.0038446279624211478,-5.732629523927052e-06,0.0013508986117476839,-0.0003459494052088885,-0.002675972669403205,0.0012118953677761526,-1.8937156584668532e-05,-0.0001252438231675377,0.0004039560974676496,-0.0017425274163488502
2025-12-11,-0.008414223252576564,-0.015531933765237376,-0.0001004678908509637,-0.0061224801005487295,-0.012222940560119841,0.015139116011983216,0.005659629902904464,0.004158858535634133,-0.003200557591537158,-0.008470368372573086,-0.004284315297231935,-0.0018158044289683201,9.965932937147014e-05,-0.0059677825454635845,-0.00316449546709009,0.007817561347140393,0.001476097949256174,-0.0022667987999512194,0.0019317280455947259,0.007450805531937562,-0.0022297818177379677,-0.005858018975957235
2025-12-12,0.011783849336579577,0.008285676566605971,0.007154180300648279,0.001290150921901476,-0.004515750484890302,-0.004099760715157176,-0.009979089318799997,0.01622326560697109,-0.010755312145624559,0.003953988057761908,-0.01686719774660581,0.007158011470573385,0.00249239646458905,0.006196507749007379,-0.0005318578206065551,-0.009091832886369444,0.004542750084368643,0.003984870837931421,0.001711157528590547,-0.007978681367719034,0.0006298010225331048,0.002835933616396544
